TF,R.acc,P.acc,FDR.acc,motif,TF.var,R.exp,P.exp,FDR.exp,pass,R.product,label,AF_signature
NOTO,-0.132390611648958,0.101682370906797,0.171917455788158,MA0710.1,NOTO,0.139985624105093,0.0833521046463367,0.216715472080475,FALSE,0.0185327823973343,"",UP
DLX4,-0.162852046519243,0.0435946703250875,0.0921544524387952,MA0881.1,DLX4,0.112386117678971,0.165224556213398,0.335136333879659,FALSE,0.0183023092643729,"",UP
NHLH2,-0.292004774893768,0.000238244192593713,0.00141055688630881,MA1529.1,NHLH2,0.0626306517653931,0.440320812096583,0.602544269184798,FALSE,0.0182884493702036,"",UP
ZBTB7B,0.169445812915796,0.0356539921764575,0.0793966512347383,MA0694.1,ZBTB7B,-0.106969254010024,0.186691412033895,0.365710574258177,FALSE,0.0181254922027249,"",UP
ZNF382,-0.141927813440241,0.0791178576370799,0.143251899292901,MA1594.1,ZNF382,-0.127582693110574,0.11483902140326,0.265942996933865,FALSE,0.0181075326660011,"",UP
TCF7,-0.0992432012155751,0.220738320492083,0.320995686329618,MA0769.2,TCF7,0.181482639186893,0.0242887848436917,0.0879315501936181,FALSE,0.0180109180779584,"",UP
BCL6B,-0.194760359578354,0.0155014907830464,0.0402930736033191,MA0731.1,BCL6B,0.0924299552842828,0.254235123339395,0.443361251677238,FALSE,0.0180016913269781,"",UP
ZNF354C,-0.25526786457966,0.00139789494686696,0.00595902645921575,MA0130.1,ZNF354C,-0.0702840023679077,0.386398489489278,0.573246034663878,FALSE,0.0179412471985676,"",UP
KLF5,-0.161728143855766,0.045085750111753,0.0936517811867409,MA0599.1,KLF5,0.109904158320944,0.174820326229549,0.348422392346,FALSE,0.0177745955272766,"",UP
STAT5A,-0.0965801753106615,0.233437222770961,0.334118427707269,MA0519.1,STAT5A::STAT5B,-0.183325822489334,0.0228579124003066,0.0838123454677907,FALSE,0.0177056400749911,"",UP
MEF2A,0.208565286974326,0.00943845129305426,0.0265701308098811,MA0052.4,MEF2A,-0.0846325304694169,0.296680289940729,0.490465681636118,FALSE,0.0176514080047174,"",UP
GRHL2,-0.190808307304642,0.0177689570551829,0.0450872175617907,MA1105.2,GRHL2,-0.0919480720097894,0.256730191581818,0.446351579285107,FALSE,0.0175444559801133,"",UP
HLTF,0.0607123658899544,0.454476679398404,0.567905532380585,MA0109.1,HLTF,-0.288751405669271,0.000281463395206897,0.00229995802940493,FALSE,0.0175307809922314,"",UP
FOSL2,0.0425383812472996,0.600401137204311,0.704981166546249,MA0478.1,FOSL2,0.411389577222403,1.15676552980498e-07,2.45062919647574e-06,FALSE,0.017499846677052,"",UP
PRDM1,-0.255858344362021,0.00136130644377788,0.00583640578769137,MA0508.3,PRDM1,0.0669860122955197,0.409127789124764,0.585052738448412,FALSE,0.0171389302013457,"",UP
NFYB,0.109095656354668,0.178033417166288,0.274406878524898,MA0502.2,NFYB,-0.156702447650836,0.0522837535099702,0.151041954584358,FALSE,0.0170955563788509,"",UP
ZIC3,-0.16281030696783,0.0436492994041918,0.0921544524387952,MA0697.1,ZIC3,0.104940730022646,0.195234169604509,0.376006548867943,FALSE,0.0170854324684151,"",UP
NFE2L1,-0.0826671488829853,0.308079565167448,0.417867919299848,MA0089.2,NFE2L1,-0.20572876607539,0.0104772328715104,0.0475633111309838,FALSE,0.0170070105346671,"",UP
BACH2,0.0240355823656502,0.767316880209616,0.833214545322232,MA1101.2,BACH2,0.706472896051376,1.37797147416857e-24,7.88199683224423e-22,FALSE,0.0169804874821423,"",UP
MNT,0.178527081521323,0.0267435757307498,0.0623459609223105,MA0825.1,MNT,-0.0949312597202256,0.241552670784298,0.434094792467328,FALSE,0.0169478007429946,"",UP
NR4A2,0.0551306326911829,0.497077135019324,0.606905961905754,MA0160.1,NR4A2,0.307134336706551,0.000106863455857023,0.00101876494583695,FALSE,0.0169325103038189,"",UP
E2F7,-0.208860081386998,0.00933589448303993,0.0263809745619234,MA0758.1,E2F7,-0.0809752649654531,0.31811934605479,0.506864250538551,FALSE,0.0169125004310182,"",UP
ZBTB12,0.0819814278004769,0.312123398150997,0.421756193371328,MA1649.1,ZBTB12,-0.20593326310284,0.010399108208099,0.0475633111309838,FALSE,0.0168827029407821,"",UP
BHLHA15,-0.407639615848117,1.54438080044922e-07,2.25903544536298e-06,MA0607.1,BHLHA15,0.0412547318458386,0.611451230597549,0.737869417514342,FALSE,0.0168170630415547,"",UP
ELF3,-0.159138930704952,0.048683419379069,0.0995009064569466,MA0640.2,ELF3,0.105453011223872,0.19305047443553,0.373056997895685,FALSE,0.0167816794457843,"",UP
VAX2,-0.157462672324372,0.0511374543308783,0.103312346736915,MA0723.1,VAX2,0.1056713505053,0.192125181770283,0.372527471093566,FALSE,0.0166392932386899,"",UP
FOSL2,-0.04032353345151,0.61952266933073,0.716256262051708,MA1131.1,FOSL2::JUN(VAR.2),0.411389577222403,1.15676552980498e-07,2.45062919647574e-06,FALSE,0.0165886813787301,"",UP
TFAP2A,-0.230549897461437,0.00401990664193485,0.0136311379767427,MA0810.1,TFAP2A(VAR.2),-0.0718289830870526,0.376018542309124,0.566006858423207,FALSE,0.0165601646854792,"",UP
ZBTB7C,0.140262129836005,0.0827384176663769,0.146959189474089,MA0695.1,ZBTB7C,-0.117810304448898,0.145628148950378,0.310818288058269,FALSE,0.0165243242186306,"",UP
STAT2,-0.101491079131505,0.210407222064614,0.312055243857261,MA0517.1,STAT1::STAT2,-0.160637424069675,0.0465732769083516,0.139653968362546,FALSE,0.0163032655177365,"",UP
THRB,-0.129153765483169,0.110401439037348,0.184635215510408,MA1574.1,THRB,0.125403207042412,0.121223670458175,0.275974539298172,FALSE,0.0161962963931929,"",UP
NR1I3,-0.128007544890643,0.113625520837826,0.188365863433373,MA1534.1,NR1I3,-0.126272296982094,0.118645543856839,0.273242686538248,FALSE,0.01616380672438,"",UP
GBX2,-0.119360847152677,0.140363841344201,0.22387311841126,MA0890.1,GBX2,-0.134825834146665,0.0954877875817249,0.237473976072812,FALSE,0.0160929257818123,"",UP
MGA,0.105085375572223,0.19461578183712,0.293893468118404,MA0801.1,MGA,-0.152825785242841,0.0584647142827255,0.164738012658714,FALSE,0.0160597550393639,"",UP
CLOCK,-0.0527998113202202,0.515470104956669,0.625269428126301,MA0819.1,CLOCK,-0.302365984859332,0.00013823943438625,0.00123551494482711,FALSE,0.0159648669502253,"",UP
TFCP2,-0.159998863759638,0.0474629730552374,0.0972759994469853,MA0145.3,TFCP2,-0.0996838470984414,0.218685279616309,0.4048154690632,FALSE,0.0159493022709401,"",UP
FOXN3,-0.0684558761607178,0.398901936927134,0.51307042232352,MA1489.1,FOXN3,0.232748795096916,0.00367480580216108,0.0210198891883614,FALSE,0.0159330226937107,"",UP
RFX5,-0.191025259871254,0.0176374016884571,0.0449061490088362,MA0510.2,RFX5,0.083394152601544,0.303829929033799,0.493723634679924,FALSE,0.0159303896724529,"",UP
TAL1,-0.31032729845583,8.97198611425238e-05,0.000602982129840746,MA0091.1,TAL1::TCF3,-0.0510944862691772,0.529145352630445,0.675605227019229,FALSE,0.0158560138899023,"",UP
ONECUT3,0.079489660945626,0.327108069203638,0.435754677903418,MA0757.1,ONECUT3,0.198177420962948,0.0137485339243633,0.0591290331183143,FALSE,0.0157530559994233,"",UP
ATF2,-0.241748023681952,0.00252354112007853,0.00970392616277621,MA1632.1,ATF2,0.0651086455078376,0.422410751010434,0.597990003089568,FALSE,0.0157398863761285,"",UP
RBPJ,-0.231907643176993,0.00380353731272684,0.0132590599780104,MA1116.1,RBPJ,0.0678061490810836,0.40340317441371,0.582301513082087,FALSE,0.0157247642263019,"",UP
SMAD5,-0.144729948318456,0.0733158289910723,0.135045946734173,MA1557.1,SMAD5,0.108086439483194,0.182104979539688,0.359186373436902,FALSE,0.0156433448003286,"",UP
POU2F3,-0.220582778081025,0.00597767858530262,0.0182014213250439,MA0627.2,POU2F3,0.0703099950588177,0.386222438145591,0.573246034663878,FALSE,0.0155091740369372,"",UP
JUNB,0.0626577650481977,0.44012254270961,0.553678611907874,MA1135.1,FOSB::JUNB,0.245505024964466,0.00214831033457734,0.0133568859932417,FALSE,0.0153827961723754,"",UP
GATA2,-0.187146400640472,0.0201213845191663,0.0497038173884042,MA0036.3,GATA2,-0.0817097168063686,0.313735268611646,0.505473005962089,FALSE,0.0152916793976641,"",UP
MEIS1,0.167339498636873,0.038045913865563,0.0827470896318077,MA0498.2,MEIS1,0.0901288972790532,0.266300844361516,0.460193604153436,FALSE,0.015082124483371,"",UP
POU3F4,-0.282582232563308,0.000384013088374548,0.00200331303445743,MA0789.1,POU3F4,0.0533686948173646,0.510948894750103,0.664438615939898,FALSE,0.0150810449304807,"",UP
MYB,-0.104313213814005,0.197933443916999,0.296999182553913,MA0100.3,MYB,-0.14295053047455,0.0769588181343088,0.204746251036394,FALSE,0.0149116292502171,"",UP
DDIT3,-0.085617296797938,0.291075024921773,0.398425630443382,MA0019.1,DDIT3::CEBPA,-0.174077679358137,0.0308377471930188,0.105953644941516,FALSE,0.0149040603395019,"",UP
NPAS2,-0.0232446757521686,0.774765280783264,0.840079795733016,MA0626.1,NPAS2,0.637101625803122,6.53838278474891e-19,1.86997747643819e-16,FALSE,0.014809220712973,"",UP
RXRA,-0.0621408722263901,0.44391111071742,0.556567543857471,MA1147.1,NR4A2::RXRA,-0.237389281127251,0.00303256908273246,0.0180690574512809,FALSE,0.0147515769864431,"",UP
FOXP3,-0.153125691634246,0.05796601891703,0.112611068000272,MA0850.1,FOXP3,0.0952207756696954,0.240113714549772,0.433265125307475,FALSE,0.0145807471323714,"",UP
TBX20,0.0271938804103629,0.73779131763742,0.808211927984603,MA0689.1,TBX20,-0.534464041048604,9.39185178053757e-13,4.88376292587954e-11,FALSE,0.014534151215915,"",UP
STAT1,-0.101491079131505,0.210407222064614,0.312055243857261,MA0517.1,STAT1::STAT2,-0.143153533330168,0.0765359704577465,0.204610953243931,FALSE,0.0145288065791666,"",UP
POU3F1,-0.141839286369221,0.0793070166326652,0.143251899292901,MA0786.1,POU3F1,-0.10176432688094,0.209175410552335,0.393580048802419,FALSE,0.0144341795026367,"",UP
TBX1,0.193731423360054,0.0160661308571076,0.0414717426276895,MA0805.1,TBX1,0.0735740264871448,0.364501647929965,0.553036983066153,FALSE,0.0142536008736849,"",UP
BACH1,-0.0487115662950971,0.548555616949474,0.655008489972206,MA1633.1,BACH1,0.285602891982917,0.0003301163193999,0.0026595286577006,FALSE,0.0139121642068973,"",UP
HNF4G,-0.274574268555656,0.000568756127206224,0.00275514331750547,MA0484.2,HNF4G,-0.0495128855172072,0.541989737928586,0.687401618836256,FALSE,0.0135949643249671,"",UP
FOXO6,-0.153125691634246,0.05796601891703,0.112611068000272,MA0849.1,FOXO6,-0.0884710711775648,0.27523186449034,0.469915466802263,FALSE,0.0135471939636872,"",UP
ZNF281,-0.280003877463656,0.000436342201146387,0.00222952932914524,MA1630.1,ZNF281,0.0483765434434789,0.55131222021766,0.693789393045604,FALSE,0.0135456197424631,"",UP
ETV4,-0.161647847569261,0.0451938890445399,0.0936517811867409,MA0764.2,ETV4,0.0831284337587652,0.30537867242891,0.494582171357484,FALSE,0.0134375323889083,"",UP
ETV1,-0.101519141322547,0.210280477683149,0.312055243857261,MA0761.2,ETV1,-0.131938938022186,0.102865389724997,0.25037873584127,FALSE,0.0133943276950211,"",UP
ISX,-0.171272382936451,0.0336837817740971,0.0756754914403219,MA0654.1,ISX,-0.0781686738917146,0.335236563517688,0.519662098461022,FALSE,0.0133881350484163,"",UP
JUN,-0.100272283041234,0.215964889818563,0.315283381222404,MA1126.1,FOS::JUN(VAR.2),0.13345256644584,0.0989431585045075,0.242899084397332,FALSE,0.0133815935152364,"",UP
ZNF148,-0.211372668099992,0.00850098026061081,0.0245803537768049,MA1653.1,ZNF148,-0.0627262748747948,0.439621781747516,0.602544269184798,FALSE,0.0132586200802589,"",UP
JUN,0.0985028555231392,0.224218450766006,0.324981399584662,MA0489.1,JUN(VAR.2),0.13345256644584,0.0989431585045075,0.242899084397332,FALSE,0.0131454588718067,"",UP
DLX3,-0.162852046519243,0.0435946703250875,0.0921544524387952,MA0880.1,DLX3,0.0804096586769665,0.321522507242469,0.507401472321329,FALSE,0.0130948774754578,"",UP
NFIX,-0.188937120288652,0.0189393774341014,0.0471299422174303,MA1528.1,NFIX(VAR.2),-0.068998202916852,0.39516777911545,0.581069330730173,FALSE,0.0130363217642021,"",UP
POU6F2,-0.101094129173205,0.212205933230857,0.312856968755374,MA0793.1,POU6F2,-0.128546152076182,0.11210150259624,0.261722691775711,FALSE,0.0129952613027081,"",UP
SOX10,-0.152284796498012,0.0593732111700917,0.113988348918726,MA0442.2,SOX10,-0.0849671484877295,0.294767688861631,0.48947593342864,FALSE,0.0129392049164703,"",UP
JUN,0.096381136525388,0.234406543542017,0.334354266696644,MA1130.1,FOSL2::JUN,0.13345256644584,0.0989431585045075,0.242899084397332,FALSE,0.0128623100262799,"",UP
ZNF410,-0.152703363361914,0.0586692934216798,0.113386769151744,MA0752.1,ZNF410,0.0839800234604076,0.300433462123427,0.491310795368488,FALSE,0.0128240320376167,"",UP
ARX,-0.151847369504631,0.0601162462970613,0.114697492935058,MA0874.1,ARX,0.0839464816805091,0.30062723492827,0.491310795368488,FALSE,0.012747052422354,"",UP
SP9,-0.0972064819474802,0.230405472503023,0.33181946426111,MA1564.1,SP9,-0.130803428024428,0.105887394540071,0.253791548637529,FALSE,0.0127149410649251,"",UP
EGR2,0.224166271048549,0.00519279096304149,0.016484349184804,MA0472.2,EGR2,0.0562170584973199,0.488623774006671,0.646974071138463,FALSE,0.0126019683726623,"",UP
RHOXF1,-0.160417520477344,0.0468780831179729,0.0966051105138336,MA0719.1,RHOXF1,0.0775626113928873,0.339008612301334,0.522524598480192,FALSE,0.0124424018013948,"",UP
TGIF2,-0.183974654405424,0.0223717748103316,0.0541861818458033,MA0797.1,TGIF2,0.0670644371686161,0.408578317205772,0.585052738448412,FALSE,0.0123381566509904,"",UP
EN2,0.0658774408968308,0.416941289892001,0.529877686983702,MA0642.1,EN2,-0.185704792847289,0.0211187487641815,0.0794731861388937,FALSE,0.0122337565150555,"",UP
SHOX2,-0.23274927610616,0.00367473332359936,0.0129309012236091,MA0720.1,SHOX2,-0.052508562195895,0.51779274399528,0.666978659419779,FALSE,0.0122213298404698,"",UP
SREBF1,0.0976469605597697,0.228289924950348,0.329408673139187,MA0829.2,SREBF1(VAR.2),0.125122474239422,0.122065661612653,0.275974539298172,FALSE,0.0122178293071976,"",UP
TAL1,-0.238658730620366,0.00287550524655,0.0108339743127591,MA0140.2,GATA1::TAL1,-0.0510944862691772,0.529145352630445,0.675605227019229,FALSE,0.0121941452347016,"",UP
HES5,0.0739274480681218,0.362196006134272,0.474865062524019,MA0821.1,HES5,-0.163738237437833,0.0424482419645583,0.131245375155283,FALSE,0.0121047500449512,"",UP
FOSL2,0.0291943732760303,0.719282748639962,0.791506001957266,MA1144.1,FOSL2::JUND,0.411389577222403,1.15676552980498e-07,2.45062919647574e-06,FALSE,0.0120102608792992,"",UP
TCF12,0.0448489069627172,0.580740208459175,0.685493980238204,MA1648.1,TCF12(VAR.2),0.267630854133327,0.000791991100394602,0.0056627363678214,FALSE,0.0120029512773781,"",UP
KLF4,-0.217767544127895,0.0066667871898105,0.0200541259822525,MA0039.4,KLF4,0.0550962397542497,0.497345996658835,0.652481445157922,FALSE,0.0119981728219647,"",UP
SMAD3,-0.171181032455413,0.0337800786188032,0.0756754914403219,MA0513.1,SMAD2::SMAD3::SMAD4,-0.0698008453619765,0.389679787451193,0.575960822796078,FALSE,0.0119485807753238,"",UP
ZFP42,-0.23134102474599,0.00389252600550812,0.0134436314819864,MA1651.1,ZFP42,0.051629846173516,0.524832626561629,0.671597902445753,FALSE,0.011944101521259,"",UP
ZNF140,-0.207862281495531,0.00968704692844945,0.0271674323632454,MA1589.1,ZNF140,-0.0574208120001719,0.479347842793714,0.638886277416871,FALSE,0.0119356209876817,"",UP
JUN,0.088839084671068,0.273232037523152,0.379573743002368,MA1132.1,JUN::JUNB,0.13345256644584,0.0989431585045075,0.242899084397332,FALSE,0.0118558038500533,"",UP
TBX21,0.178131198855144,0.0270879680675823,0.0629521002442878,MA0690.1,TBX21,0.0663376395133484,0.413687166920671,0.588629501190606,FALSE,0.0118168032557331,"",UP
MEF2B,0.125452217676364,0.121077137050559,0.198513284043334,MA0660.1,MEF2B,-0.0938346441741272,0.247057529597546,0.436163292993198,FALSE,0.0117717642065168,"",UP
LBX2,-0.124724093823988,0.123268268549884,0.20095307177587,MA0699.1,LBX2,0.094359285488375,0.244413143354831,0.435174512920827,FALSE,0.0117688763764166,"",UP
IRF2,-0.112126351720565,0.166210077350624,0.257246302289555,MA0051.1,IRF2,-0.104378470102241,0.197651489798494,0.378115893527554,FALSE,0.0117035770507384,"",UP
ZNF274,-0.10489011076787,0.195450913341609,0.294558346167354,MA1592.1,ZNF274,-0.111548327190231,0.168418728301964,0.340408171691602,FALSE,0.0117003163949539,"",UP
LIN54,-0.0561870521055211,0.488856215682611,0.599813712005309,MA0619.1,LIN54,-0.207823893224294,0.00970078659604486,0.0458582639085757,FALSE,0.0116770119173656,"",UP
ELF4,0.143271218504894,0.0762916965696341,0.139153070026765,MA0641.1,ELF4,-0.0806795784680141,0.319895518434169,0.507401472321329,FALSE,0.0115590615155736,"",UP
NFE2,0.0592355400622948,0.465545596663858,0.57882835851873,MA0841.1,NFE2,-0.194596998183576,0.0155899657955004,0.0641543916188937,FALSE,0.0115270582819055,"",UP
ALX4,-0.1607438771964,0.0464263175969877,0.0959391493832488,MA0853.1,ALX4,0.0715096642739329,0.378149793220438,0.567020244229627,FALSE,0.0114947406924049,"",UP
RXRA,-0.0482461296143947,0.552387099153395,0.658275999949573,MA0115.1,NR1H2::RXRA,-0.237389281127251,0.00303256908273246,0.0180690574512809,FALSE,0.0114531140263334,"",UP
PAX7,-0.053909216977798,0.506672171362661,0.615598436215872,MA0680.1,PAX7,-0.209782107644121,0.00902145406317389,0.0443020281834705,FALSE,0.0113091891590467,"",UP
FOXC2,-0.163928961160863,0.0422048406918801,0.0902143586135891,MA0846.1,FOXC2,0.0685130641953718,0.398507183164687,0.581373789299432,FALSE,0.0112312754394948,"",UP
TFEB,-0.032753907903736,0.686755548844206,0.766945568020626,MA0692.1,TFEB,-0.341843732422551,1.4309709448912e-05,0.000177938126190818,FALSE,0.0111967181292376,"",UP
HOXB7,-0.210176717588858,0.00888976569932096,0.025506789275744,MA1501.1,HOXB7,-0.0528511056530973,0.515061600750731,0.665045678621711,FALSE,0.0111080719071099,"",UP
RUNX2,-0.159997827210491,0.047464428684588,0.0972759994469853,MA0511.2,RUNX2,-0.0692339355164433,0.393551201874364,0.58018373059829,FALSE,0.0110772792518622,"",UP
PRDM4,-0.18226858181862,0.0236695167162368,0.0564136085313504,MA1647.1,PRDM4,-0.060004422099049,0.459764351287689,0.618788726909549,FALSE,0.0109369209188395,"",UP
FOXL2,-0.129758924858229,0.108728349572628,0.182272693890293,MA1607.1,FOXL2,0.0839464816805091,0.30062723492827,0.491310795368488,FALSE,0.0108928052084939,"",UP
NKX2-2,-0.252109582213515,0.00160928928581244,0.00663276136583468,MA1645.1,NKX2-2,0.0431755844072519,0.594949287999869,0.722528646997717,FALSE,0.0108849785467366,"",UP
MEF2D,0.162492241981177,0.0440674685160876,0.0926037507408489,MA0773.1,MEF2D,-0.0667163329382404,0.411020575996108,0.586293689450808,FALSE,0.0108408865158973,"",UP
HOXB6,-0.227576965714683,0.00453275081523119,0.01483084257966,MA1500.1,HOXB6,0.0475414418184891,0.558212734107889,0.698534703559973,FALSE,0.0108193370747529,"",UP
GFI1,-0.0665059429922929,0.412500799006229,0.526026659929311,MA0038.2,GFI1,-0.162460304380938,0.0441096421581551,0.134205932523749,FALSE,0.0108045757416692,"",UP
BARX2,-0.0568252635943899,0.483925110139127,0.595722990369288,MA1471.1,BARX2,-0.187786150974412,0.019691982456109,0.0759561603233781,FALSE,0.0106709975284969,"",UP
ERG,0.0902832979925174,0.265479228118857,0.372919294358723,MA0474.2,ERG,0.118158765274331,0.144432230439735,0.309420358844676,FALSE,0.0106677630156903,"",UP
FIGLA,-0.0630885222478796,0.436979384614453,0.550653075882402,MA0820.1,FIGLA,-0.168588467835482,0.0366118056967569,0.119668302048828,FALSE,0.0106359973037747,"",UP
ATF1,-0.0851101837159692,0.293952633169056,0.400893353462735,MA0604.1,ATF1,-0.124675153510061,0.123416636192452,0.277930377567253,FALSE,0.010611125220058,"",UP
CDX4,-0.133608631710876,0.0985455645078503,0.167842445485973,MA1473.1,CDX4,0.079107128328036,0.329448783290868,0.513473308017374,FALSE,0.0105693951744855,"",UP
MEOX1,-0.136229445510424,0.0920556418546381,0.160452123419533,MA0661.1,MEOX1,-0.0774322153985696,0.339823689920685,0.522524598480192,FALSE,0.0105485477683908,"",UP
SOX8,0.183058124330507,0.0230611175219528,0.0554954634560543,MA0868.2,SOX8,0.0575848875189598,0.478090913874951,0.638886277416871,FALSE,0.010541381499004,"",UP
POU2F1,-0.223763476629856,0.00527616084693286,0.0166780338636098,MA0785.1,POU2F1,0.0470825219915206,0.562022446124073,0.698862693876022,FALSE,0.0105353488093243,"",UP
HOXC8,-0.217925506307942,0.0066263257195865,0.0200131133069293,MA1505.1,HOXC8,0.0483078915756972,0.551877926286276,0.693789393045604,FALSE,0.010527521730303,"",UP
TCFL5,0.28470236217186,0.000345401732499687,0.00181457529890681,MA0632.2,TCFL5,0.0368800778347273,0.649760114463894,0.767898317093693,FALSE,0.0104998452766289,"",UP
BHLHE22,-0.153533271189346,0.0572938963384912,0.112611068000272,MA0818.1,BHLHE22,0.0683660438935948,0.399522495507663,0.581373789299432,FALSE,0.0104964623572581,"",UP
STAT5A,0.0568768971905041,0.483527337435361,0.595722990369288,MA1624.1,STAT5A,-0.183325822489334,0.0228579124003066,0.0838123454677907,FALSE,0.0104270039580904,"",UP
LHX1,-0.166073854811922,0.0395471271881094,0.0853166045098833,MA1518.1,LHX1,-0.0623911506243739,0.442074396416884,0.60350013066935,FALSE,0.010361538890341,"",UP
HINFP,0.367893054725732,2.68017503539027e-06,2.81607123436781e-05,MA0131.2,HINFP,-0.0281596080882644,0.728836842325589,0.817440536882817,FALSE,0.010359724239471,"",UP
HESX1,0.135556388212464,0.0936889704688877,0.161644748688471,MA0894.1,HESX1,0.0763645291525545,0.346544298988392,0.531429863328043,FALSE,0.0103516997594657,"",UP
DMRT1,0.253140888409813,0.00153725617065705,0.00644265788376494,MA1603.1,DMRT1,-0.0401029938132204,0.621440980028885,0.742894053039545,FALSE,0.0101517074817719,"",UP
FOSL2,0.0243315397911482,0.76453510904032,0.831404069014692,MA1138.1,FOSL2::JUNB,0.411389577222403,1.15676552980498e-07,2.45062919647574e-06,FALSE,0.0100097418678505,"",UP
JUNB,0.0407681811088241,0.615662808206792,0.713174619444513,MA1134.1,FOS::JUNB,0.245505024964466,0.00214831033457734,0.0133568859932417,FALSE,0.0100087933208777,"",UP
MNX1,-0.141376844433276,0.0803010597655361,0.144697078707947,MA0707.1,MNX1,0.0705969659280321,0.384281977276179,0.573246034663878,FALSE,0.00998077626946871,"",UP
FOXJ2,-0.121093161084204,0.134655187548995,0.216027462175377,MA0614.1,FOXJ2,0.0814370110252691,0.315358483225241,0.505473005962089,FALSE,0.00986146509429903,"",UP
YY1,-0.101247936050612,0.211507682734346,0.312445012514499,MA0095.2,YY1,-0.0970177771311589,0.231316000346167,0.422724447916957,FALSE,0.00982284969474814,"",UP
NR5A1,0.0817033607699845,0.313773039304406,0.421756193371328,MA1540.1,NR5A1,-0.120218666524141,0.137514372554845,0.295707598125455,FALSE,0.00982226908230838,"",UP
NR2E1,-0.062428390860791,0.4418014705715,0.554855045532557,MA0676.1,NR2E1,-0.156185579074276,0.0530751953714891,0.151795058762459,FALSE,0.00975041437726789,"",UP
RUNX1,-0.342529735669625,1.3717918392125e-05,0.000127919589006566,MA0002.2,RUNX1,-0.0284264648925351,0.726368863624435,0.816273064819601,FALSE,0.00973690950566191,"",UP
SOX2,-0.275291469124495,0.000549359771505608,0.00269619993120515,MA0142.1,POU5F1::SOX2,-0.0351622889873046,0.665064655199405,0.776361189334816,FALSE,0.00967987819309513,"",UP
GLIS1,-0.0900260999854827,0.266848821870078,0.373488219728102,MA0735.1,GLIS1,-0.107486170698536,0.184558896307785,0.3627755625019,FALSE,0.00967656075036308,"",UP
TP53,-0.226139548106754,0.00480115266363249,0.0154691643254887,MA0106.3,TP53,0.0426471758421125,0.599468719069615,0.726474803618262,FALSE,0.00964421307296458,"",UP
JDP2,0.0415291671475027,0.60908130899301,0.706987320366261,MA0655.1,JDP2,-0.231989933036727,0.00379076685297245,0.0214685013851509,FALSE,0.00963434870562019,"",UP
KLF3,0.0774598265168531,0.339650994964259,0.450052650521025,MA1516.1,KLF3,-0.123460831055024,0.127142356629399,0.282978319035083,FALSE,0.0095632545551487,"",UP
ZFX,-0.0291862047690525,0.719358001778856,0.791506001957266,MA0146.2,ZFX,-0.325844200447853,3.72681275455984e-05,0.000409949403001582,FALSE,0.00951015555707921,"",UP
ESR1,0.131456491878534,0.10414095049798,0.174975560971831,MA0112.3,ESR1,0.0721026076914184,0.374198124781737,0.564752842678506,FALSE,0.00947835586240805,"",UP
MECOM,-0.0996072471431878,0.219041192607051,0.319149862665742,MA0029.1,MECOM,0.0944578159106512,0.243918716306817,0.435174512920827,FALSE,0.00940868301401797,"",UP
ETS1,0.0577256913516544,0.477013685648785,0.59013633415256,MA0098.3,ETS1,0.16227334742183,0.0443571962828014,0.134245059649536,FALSE,0.00936734116787234,"",UP
JUN,0.0696951434300642,0.390399878932484,0.503002261975186,MA0099.3,FOS::JUN,0.13345256644584,0.0989431585045075,0.242899084397332,FALSE,0.00930099575955298,"",UP
PAX3,-0.116855262578725,0.148944328265731,0.234751897418385,MA0780.1,PAX3,0.0788521161752884,0.331015154016891,0.514512685047993,FALSE,0.00921428474055144,"",UP
KLF16,-0.206325801543584,0.0102505823700282,0.0284272656061005,MA0741.1,KLF16,0.0442775721891172,0.585574011481038,0.718773250144106,FALSE,0.00913560557232352,"",UP
HMBOX1,-0.0392092207520596,0.629241252097409,0.723224956499495,MA0895.1,HMBOX1,-0.232943448856015,0.00364558022933442,0.0210198891883614,FALSE,0.0091335311089416,"",UP
DMRTC2,-0.0678514661207843,0.40308824924326,0.515787022187774,MA1479.1,DMRTC2,0.134161588133879,0.0971470026032666,0.239719205942464,FALSE,0.00910306045197654,"",UP
PAX6,-0.243722520339203,0.00231952080037171,0.00915535723321319,MA0069.1,PAX6,0.0372195576120143,0.646752520809124,0.765926380751178,FALSE,0.00907124438711028,"",UP
MAFK,-0.161717954216062,0.0450994610198982,0.0936517811867409,MA0591.1,BACH1::MAFK,-0.0552859675911168,0.495863783434224,0.652032377297417,FALSE,0.00894073357569094,"",UP
KLF13,-0.0419826482044611,0.605174110466153,0.706509994378326,MA0657.1,KLF13,-0.209662292154016,0.0090617784920735,0.0443020281834705,FALSE,0.00880217825324301,"",UP
LHX8,-0.0984749396182213,0.224350430008178,0.324981399584662,MA0705.1,LHX8,0.0893475220250386,0.270485352694551,0.466016932955672,FALSE,0.00879849183645338,"",UP
TBX4,0.155530328666125,0.0540927505343018,0.107896235022966,MA0806.1,TBX4,0.0557887072160282,0.491947538551104,0.649870651388526,FALSE,0.00867683596916707,"",UP
NR2C2,-0.3458905831731,1.11377830636296e-05,0.000106522899557278,MA1536.1,NR2C2(VAR.2),-0.0249245057556322,0.758970762025827,0.838463679111815,FALSE,0.00862115183111691,"",UP
