TF,R.acc,P.acc,FDR.acc,motif,TF.var,R.exp,P.exp,FDR.exp,pass,R.product,label,AF_signature
FOXK1,-0.140704908167731,0.0817632558954889,0.146271915822625,MA0852.2,FOXK1,0.313907461400194,7.3570543487562e-05,0.000725557773704921,FALSE,0.0441683205294799,"",UP
MZF1,-0.303789493438877,0.000128072455040327,0.000823638374655898,MA0057.1,MZF1(VAR.2),-0.144898870001664,0.072977380356777,0.198776483638459,FALSE,0.0440187543176712,"",UP
SMAD4,-0.171181032455413,0.0337800786188032,0.0756754914403219,MA0513.1,SMAD2::SMAD3::SMAD4,0.256870294734527,0.0013006299060715,0.00875247419144583,FALSE,0.0439713222597826,"",UP
HNF4A,-0.248477787905362,0.00188812526781352,0.00765511657493959,MA0114.4,HNF4A,-0.176308474215776,0.0287229306018254,0.102046685119529,FALSE,0.0438087396621054,"",UP
NFATC1,0.27282587325521,0.00061871628664057,0.00295873301175555,MA0624.1,NFATC1,-0.160480601978314,0.0467904769679905,0.139653968362546,FALSE,0.0437832603752554,"",UP
ZNF16,-0.480159290723753,2.94813732769963e-10,8.79724178585569e-09,MA1654.1,ZNF16,-0.0908969343530624,0.26223096700219,0.45453367613713,FALSE,0.04364500752793,"",UP
MAFG,-0.26378553229468,0.000947836131791081,0.00444708021582482,MA0659.2,MAFG,-0.165114934714571,0.0407174020048927,0.127968977729663,FALSE,0.0435549309434846,"",UP
MAFB,-0.227699203920184,0.00451055888321174,0.0148232463739029,MA0117.2,MAFB,0.19066162101355,0.0178583861060469,0.070937478143464,FALSE,0.0434134993229171,"",UP
REL,-0.198382513840441,0.0136490675428123,0.03649288833725,MA0101.1,REL,-0.218700548432239,0.00643095206039518,0.0343785474630471,FALSE,0.0433863645762706,"",UP
ETV5,0.114021793521129,0.159118817917701,0.247813440848861,MA0765.2,ETV5,0.378163840667291,1.32843543459281e-06,2.1107363016308e-05,FALSE,0.0431189193577228,"",UP
THAP1,-0.458649465410426,2.20521462327364e-09,4.83850032047686e-08,MA0597.1,THAP1,-0.0935921149863714,0.248286647749565,0.436984500039234,FALSE,0.0429259735051304,"",UP
BHLHE40,0.0805542224228437,0.320650459778402,0.427916355983341,MA0464.2,BHLHE40,-0.529589029440576,1.64199821724863e-12,7.82685816888514e-11,FALSE,0.0426606324702541,"",UP
MAFA,-0.236038407799708,0.00320817883121891,0.0116746410150698,MA1521.1,MAFA,-0.179168478361561,0.0261935487882103,0.0942308799173352,FALSE,0.0422906423603594,"",UP
LHX5,-0.285161390347963,0.000337530213552593,0.00178579815113641,MA1519.1,LHX5,-0.147489724568141,0.067943194504236,0.185949795485277,FALSE,0.0420583749198893,"",UP
MAZ,-0.317260103791928,6.09532665379046e-05,0.000445795459188988,MA1522.1,MAZ,-0.13231214949316,0.101887104861456,0.249057367439116,FALSE,0.041977366281133,"",UP
FOXA3,-0.149592256770658,0.0640689478752319,0.12039152421895,MA1683.1,FOXA3,-0.280447542755725,0.000426892342157528,0.00339142249602925,FALSE,0.0419527808266145,"",UP
RORC,-0.324580050346329,4.0105893552868e-05,0.000321709640757414,MA1151.1,RORC,-0.128171245122657,0.113160622812413,0.263121448165448,FALSE,0.0416018291948637,"",UP
