baseMean,log2FoldChange,lfcSE,pvalue,padj,genes,celltype
63.6608494643345,-3.11348990912808,0.841860004905617,6.33435984787079e-07,0.000379730621426435,AC092807.3,CM
67.5189699645048,-1.42193957652778,0.722898904860438,0.000120756881105722,0.0255654003450598,LGR6,CM
102.715757407464,-2.66578688736239,0.744748367820123,2.236615604582e-06,0.000989940622189648,TGFB2,CM
44.337459498836,-1.3755197598042,0.862436324199237,0.000200779629300635,0.0356139650567586,SLC30A3,CM
118.977066254739,-4.3297267807654,0.53188848291936,1.26225637111743e-18,1.65683771272874e-14,AC010967.1,CM
1196.0324993795,1.94156777218185,0.488490573525367,3.46012601536013e-06,0.00137629133568537,FHL2,CM
1648.85853536618,-1.26912605851329,0.283814383133111,1.83895164304689e-06,0.000928387664101288,NEB,CM
159.419367580821,1.29992276623112,0.418814915344376,2.76667783900243e-05,0.0077266836839885,DHRS9,CM
71.485586929297,1.45861513083386,0.63340200401358,7.58864961911654e-05,0.0174751955965831,COL3A1,CM
91.3013841977306,-2.06920825223998,0.922080094876698,3.64945030254597e-05,0.00958053693424367,ALCAM,CM
85.3293389938638,1.43846514588608,0.521836646751674,4.20816627225658e-05,0.0108306648018902,KLF15,CM
49.4871780618286,2.02788405506027,0.45347472108988,7.75825868316616e-07,0.000442760449892343,AC026353.1,CM
755.510796439658,-1.77286979428655,1.04956994777747,9.78112771085264e-05,0.021760522429263,FRAS1,CM
88.9674049145798,-2.51858335787918,0.737756719740026,3.94504142529082e-06,0.00152301805142257,ABCG2,CM
314.375373184187,1.17059265634067,0.356006321463845,2.17961667438977e-05,0.00621948879740002,CYP4V2,CM
282.712771725336,2.47714390367099,0.4973677672656,4.17449532097986e-08,4.5662021319318e-05,KLKB1,CM
1268.10899077083,1.15645539593507,0.263206551518667,2.44665987294417e-06,0.00103596314491178,CTNND2,CM
72.5044725211824,-3.11961874148574,0.581443164636242,1.53507312969218e-09,2.23881887781551e-06,CDH10,CM
594.071520970237,-1.92959170869554,0.460504544787993,2.08071227086502e-06,0.000975408188120511,FBN2,CM
1046.92110944359,-2.2076117040728,0.492784248318784,5.59387412525557e-07,0.000367125958840523,SLC27A6,CM
89.098806703976,-2.70024913494277,0.458597732286233,1.89546950720273e-10,4.81288218375695e-07,ADAMTS19,CM
112.540767446413,-1.79649481816772,0.405283130775488,1.23326941851533e-06,0.00064751577549729,LINC01470,CM
158.193348800905,-2.3768311749906,0.504512873905516,1.69934940014638e-07,0.000139410376414508,AC008691.1,CM
140.116504591736,-1.42598225112712,0.274417655778032,8.32819923886737e-08,7.28772954729154e-05,GABRB2,CM
2801.58263548045,1.41456831877973,0.550932924616218,5.51640611439301e-05,0.0131651539377314,TRDN-AS1,CM
504.30861087676,1.20031729925298,0.289634855762859,4.51573288213497e-06,0.00164648638363621,RPS6KA2,CM
945.906392279616,0.801807649625431,0.43714365272236,0.000174876325819701,0.031880925732075,RNF216,CM
829.693865870239,-2.1833594843443,0.411642076198562,1.4519517961347e-08,1.73257447964219e-05,AC011287.1,CM
300.796504947964,-1.77161338474409,0.753631133955889,5.17078857802754e-05,0.0127320578578179,DGKB,CM
117.098581313696,-2.30662053941831,0.876617984578157,1.60282204620736e-05,0.00489270748337623,GALNT17,CM
53.0009217661688,-1.94948197335153,0.482658683227279,2.95215176492336e-06,0.0012109357520745,ABCB1,CM
88.6901289106271,1.44026968269045,0.404518214258769,1.26324490946826e-05,0.0039479411146858,COL1A2,CM
56.8984233989418,-2.09086276560276,1.2980198897451,4.37549199022269e-05,0.0110447515122429,FLNC-AS1,CM
188.872462370524,1.38216996184519,0.759331155518138,0.000151139451476326,0.0296261605305305,MBNL3,CM
34.4840116646692,-1.55476647813834,0.985716503484633,0.000157607620267079,0.0296261605305305,CDC37L1-DT,CM
266.116394845776,-1.92013302017153,0.53543988601665,7.67651760349778e-06,0.00265163079114505,MAMDC2,CM
867.787891860635,-2.32741108458288,0.467319757730018,5.63543429973557e-08,5.28445823662005e-05,ASTN2,CM
38.8843604443933,-1.23861581072359,0.761104628070457,0.000221714195509897,0.0382923753981961,ASTN2-AS1,CM
2024.44020642122,1.99235697140284,0.295498019338425,3.06202154047405e-12,1.00480236850656e-08,ZBTB16,CM
182.824298992468,-2.05597523599475,0.746740337908846,2.15425856602345e-05,0.00621948879740002,TAGLN,CM
42.7751038823269,-1.90182409793237,0.500618752978576,5.27747180076515e-06,0.00187221877991469,AC245041.2,CM
102.059552057219,-3.03566665470567,0.370230561625874,6.94746451164102e-18,4.55962095899e-14,PCDH15,CM
47.9886585774696,-1.9801914308878,0.510766850329051,4.06333335181611e-06,0.00152386610216967,TLL2,CM
39.4199540053866,-1.47297083814693,0.81244796389362,0.000138683526112936,0.0288946025993397,FGFR2,CM
47.821340387828,1.38930122784286,0.771591424085117,0.000153904647721776,0.0296261605305305,LINC01252,CM
137.86758421823,1.27519347708869,0.667933881632869,0.000146234345571326,0.0296261605305305,AC122685.1,CM
754.354178964771,2.24344006244131,0.297831132666357,6.31480139690274e-15,2.76293610452485e-11,LINC01479,CM
2757.75219719196,2.90109792802797,0.615277429333739,5.63632601803144e-08,5.28445823662005e-05,IFNG-AS1,CM
1583.38618333597,-1.1966174692391,0.267953052245828,1.95232932850086e-06,0.000949121287626009,NAV3,CM
75.3664129006937,-1.84412287592562,1.09271579208067,8.44230190697954e-05,0.0191058025570713,AC089983.1,CM
64.0887182742793,1.29941141746844,0.78831630109865,0.000204123803009839,0.0357243871774287,DIAPH3,CM
